id	kind	status	depends_on	cpp_refs	rust_targets	acceptance	rollback_or_parking	notes
#REFINE.060	decision	complete	R4_DAG	docs/migration/inventory/r4-roadmap-order.md; docs/migration/inventory/r4-dependency-dag.md	docs/migration/inventory/r6-next-miniphase.md	R6 selects NEXT.L0.CONFIG.001 before L3 Maps because L0 blocks startup	none	Choice is from R4 DAG, not inherited optimistic roadmap state
#REFINE.061	cpp_refs	complete	#REFINE.060	/home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:139; /home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:174; /home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:200; /home/server/woltk-trinity-legacy/src/server/worldserver/Main.cpp:74; /home/server/woltk-trinity-legacy/src/server/worldserver/Main.cpp:202; /home/server/woltk-trinity-legacy/src/server/bnetserver/Main.cpp:60; /home/server/woltk-trinity-legacy/src/server/bnetserver/Main.cpp:119; /home/server/woltk-trinity-legacy/src/server/database/Database/DatabaseLoader.cpp:39; /home/server/woltk-trinity-legacy/src/server/worldserver/worldserver.conf.dist:91; /home/server/woltk-trinity-legacy/src/server/bnetserver/bnetserver.conf.dist:233	crates/wow-config/src/lib.rs; crates/world-server/src/main.rs; crates/bnet-server/src/main.rs; crates/wow-database/src/database.rs	Every implementation task below carries C++ refs before code changes	none	Rust current config is not trusted; cpp-config-keys.md remains the inventory source
#REFINE.062	tests	complete	#REFINE.061	same as #REFINE.061	crates/wow-config/src/lib.rs; crates/world-server/src/main.rs; crates/bnet-server/src/main.rs	cargo test -p wow-config plus startup-resolution unit/integration tests and golden DB-info parsing	none	Tests are listed before implementation starts
#REFINE.063	rollback	complete	#REFINE.062	/home/server/woltk-trinity-legacy/src/server/database/Database/DatabaseLoader.cpp:39	crates/world-server/src/main.rs; crates/bnet-server/src/main.rs	Legacy split DB subkeys were removed by #NEXT.L0.CONFIG.REMOVE_LEGACY_DB_SUBKEYS	done	No Maps/entities/packets edits in this mini-phase
#NEXT.L0.CONFIG.001.a	implementation	complete	#REFINE.063	/home/server/woltk-trinity-legacy/src/server/worldserver/Main.cpp:74; /home/server/woltk-trinity-legacy/src/server/worldserver/Main.cpp:141; /home/server/woltk-trinity-legacy/src/server/bnetserver/Main.cpp:60; /home/server/woltk-trinity-legacy/src/server/bnetserver/Main.cpp:97	crates/world-server/src/main.rs; crates/bnet-server/src/main.rs; crates/wow-config/src/lib.rs	World and bnet load lowercase worldserver.conf/bnetserver.conf by default; tests cover case-sensitive Linux names	Keep uppercase Rust names only as logged legacy fallback during CONFIG.001	Rust currently loads WorldServer.conf/BNetServer.conf, which is not C++ parity
#NEXT.L0.CONFIG.001.b	implementation	complete	#NEXT.L0.CONFIG.001.a	/home/server/woltk-trinity-legacy/src/server/database/Database/DatabaseLoader.cpp:39; /home/server/woltk-trinity-legacy/src/server/database/Database/MySQLConnection.cpp:33; /home/server/woltk-trinity-legacy/src/server/database/Database/MySQLConnection.cpp:41; /home/server/woltk-trinity-legacy/src/server/worldserver/worldserver.conf.dist:91; /home/server/woltk-trinity-legacy/src/server/bnetserver/bnetserver.conf.dist:233	crates/wow-config/src/lib.rs; crates/wow-database/src/database.rs	Parser accepts host;port_or_socket;username;password;database and optional ssl; golden tests use C++ defaults and socket example	Legacy split subkeys may fallback only after canonical key miss	C++ reads name + DatabaseInfo, not .Host/.Port split keys
#NEXT.L0.CONFIG.001.c	implementation	complete	#NEXT.L0.CONFIG.001.a	/home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:160; /home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:174; /home/server/woltk-trinity-legacy/src/server/worldserver/Main.cpp:212; /home/server/woltk-trinity-legacy/src/server/bnetserver/Main.cpp:129	crates/wow-config/src/lib.rs	Config dir loader applies every recursive .conf override and returns loaded/error lists; unit test covers override order and non-conf ignore	Can ship disabled only with blocker task if filesystem ordering proves ambiguous	C++ recursive_directory_iterator order is implementation-defined; Rust uses deterministic sorted order
#NEXT.L0.CONFIG.001.d	implementation	complete	#NEXT.L0.CONFIG.001.c	/home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:125; /home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:200; /home/server/woltk-trinity-legacy/src/common/Configuration/Config.cpp:232	crates/wow-config/src/lib.rs	TC_* env override parity is unit-tested for dotted keys and only overrides scalar config entries	Can park behind explicit blocker if env key transform is not fully recovered from C++	Do not invent non-TC env names
#NEXT.L0.CONFIG.001.e	implementation	complete	#NEXT.L0.CONFIG.001.b; #NEXT.L0.CONFIG.001.c; #NEXT.L0.CONFIG.001.d	/home/server/woltk-trinity-legacy/src/server/worldserver/Main.cpp:202; /home/server/woltk-trinity-legacy/src/server/bnetserver/Main.cpp:119; /home/server/woltk-trinity-legacy/src/server/database/Database/DatabaseLoader.cpp:39	crates/world-server/src/main.rs; crates/bnet-server/src/main.rs	World and bnet startup consume canonical config names and semicolon DB info; no invented DB subkeys required	done	No gameplay behavior changes allowed
#NEXT.L0.CONFIG.002	followup	in_progress	#NEXT.L0.CONFIG.001	docs/migration/inventory/cpp-world-config-registry.tsv; /home/server/woltk-trinity-legacy/src/server/game/World/World.cpp	crates/wow-config/src/lib.rs; crates/wow-world	WorldBool/Float/Int/Int64 registry port has one row per C++ enum/default/validation	none	Split into 002.a registry defaults, 002.b validation rules, 002.c runtime wiring
